15 Minute Interval,Average Weekday Arrivals
0,241
1,26
2,23
3,21
4,20
5,18
6,16
7,16
8,15
9,15
10,15
11,15
12,14
13,14
14,14
15,14
16,16
17,16
18,17
19,20
20,21
21,24
22,29
23,41
24,52
25,56
26,67
27,79
28,81
29,83
30,1518
31,498
32,513
33,537
34,575
35,641
36,688
37,725
38,821
39,829
40,839
41,809
42,805
43,836
44,807
45,808
46,820
47,856
48,843
49,837
50,820
51,827
52,801
53,787
54,789
55,809
56,770
57,757
58,745
59,762
60,725
61,717
62,715
63,734
64,653
65,650
66,657
67,681
68,666
69,670
70,682
71,690
72,690
73,651
74,647
75,444
76,403
77,330
78,316
79,214
80,198
81,177
82,166
83,72
84,68
85,66
86,63
87,61
88,59
89,55
90,51
91,49
92,44
93,38
94,36
95,30
