CAST(maxDepartureTimeSeconds / 900 AS INT),count(*) / 313
0,236
1,35
2,32
3,28
4,27
5,25
6,23
7,20
8,21
9,20
10,18
11,19
12,19
13,18
14,17
15,16
16,17
17,17
18,18
19,19
20,21
21,21
22,24
23,31
24,40
25,45
26,54
27,65
28,73
29,85
30,592
31,467
32,489
33,505
34,517
35,536
36,557
37,588
38,635
39,653
40,682
41,700
42,725
43,750
44,768
45,783
46,806
47,830
48,837
49,818
50,811
51,817
52,811
53,802
54,811
55,826
56,818
57,806
58,807
59,812
60,818
61,793
62,791
63,817
64,786
65,700
66,709
67,697
68,732
69,661
70,641
71,595
72,588
73,531
74,1475
75,357
76,343
77,294
78,644
79,195
80,198
81,182
82,755
83,81
84,88
85,81
86,82
87,80
88,86
89,74
90,75
91,65
92,100
93,51
94,46
95,64
