mins, cumulative_fails, total_events
1,101,96302
2,12003,96201
3,5799,84198
4,4050,78399
5,3204,74349
6,2726,71145
7,2321,68419
8,2053,66098
9,1743,64045
10,1816,62302
11,1612,60486
12,1480,58874
13,1320,57394
14,1322,56074
15,1284,54752
16,1177,53468
17,1195,52291
18,1049,51096
19,1059,50047
20,1042,48988
21,1014,47946
22,903,46932
23,907,46029
24,922,45122
25,884,44200
26,906,43316
27,840,42410
28,827,41570
29,837,40743
30,836,39906
31,817,39070
32,785,38253
33,829,37468
34,749,36639
35,804,35890
36,743,35086
37,746,34343
38,741,33597
39,770,32856
40,754,32086
41,732,31332
42,743,30600
43,730,29857
44,771,29127
45,703,28356
46,706,27653
47,675,26947
48,688,26272
49,718,25584
50,730,24866
51,709,24136
52,759,23427
53,689,22668
54,711,21979
55,711,21268
56,719,20557
57,718,19838
58,752,19120
59,780,18368
60,764,17588
61,706,16824
62,740,16118
63,714,15378
64,693,14664
65,660,13971
66,588,13311
67,525,12723
68,550,12198
69,420,11648
70,446,11228
71,410,10782
72,375,10372
73,387,9997
74,371,9610
75,304,9239
76,305,8935
77,283,8630
78,265,8347
79,232,8082
80,224,7850
81,222,7626
82,194,7404
83,219,7210
84,202,6991
85,193,6789
86,160,6596
87,188,6436
88,163,6248
89,160,6085
90,179,5925
91,136,5746
92,167,5610
93,131,5443
94,138,5312
95,141,5174
96,108,5033
97,131,4925
98,118,4794
99,107,4676
100,104,4569
101,129,4465
102,106,4336
103,85,4230
104,95,4145
105,107,4050
106,82,3943
107,93,3861
108,87,3768
109,77,3681
110,74,3604
111,75,3530
112,84,3455
113,63,3371
114,76,3308
115,66,3232
116,66,3166
117,75,3100
118,59,3025
119,74,2966
120,66,2892
121,68,2826
122,61,2758
123,63,2697
124,54,2634
125,47,2580
126,49,2533
127,37,2484
128,46,2447
129,51,2401
130,42,2350
131,48,2308
132,37,2260
133,40,2223
134,41,2183
135,42,2142
136,30,2100
137,39,2070
138,25,2031
139,34,2006
140,42,1972
141,36,1930
142,26,1894
143,18,1868
144,31,1850
145,24,1819
146,27,1795
147,22,1768
148,27,1746
149,13,1719
150,16,1706
151,29,1690
152,21,1661
153,9,1640
154,33,1631
155,15,1598
156,17,1583
157,17,1566
158,21,1549
159,12,1528
160,18,1516
161,14,1498
162,17,1484
163,14,1467
164,14,1453
165,17,1439
166,12,1422
167,22,1410
168,17,1388
169,15,1371
170,15,1356
171,19,1341
172,11,1322
173,15,1311
174,10,1296
175,18,1286
176,9,1268
177,9,1259
178,10,1250
179,13,1240
180,13,1227
181,7,1214
182,6,1207
183,13,1201
184,9,1188
185,10,1179
186,10,1169
187,6,1159
188,7,1153
189,7,1146
190,7,1139
191,8,1132
192,9,1124
193,8,1115
194,11,1107
195,14,1096
196,10,1082
197,8,1072
198,8,1064
199,8,1056
200,8,1048
201,9,1040
202,10,1031
203,7,1021
204,9,1014
205,7,1005
206,4,998
207,10,994
208,11,984
209,5,973
210,4,968
211,3,964
212,7,961
213,7,954
214,7,947
215,5,940
216,6,935
217,6,929
218,3,923
219,10,920
220,5,910
221,2,905
222,4,903
223,2,899
224,2,897
225,11,895
226,7,884
227,6,877
228,8,871
229,8,863
230,3,855
231,7,852
232,2,845
233,7,843
234,11,836
235,3,825
236,7,822
237,7,815
238,3,808
239,1,805
240,3,804
